st,customer lifetime value,response,coverage,education,effective to date,employmentstatus,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type,zone
california,2874.08847,no,basic,master,2/28/11,employed,f,33462,rural,married,72,12.0,9,0.0,1,personal auto,personal l3,offer2,branch,112.425578,four-door car,medsize,,west region
california,19327.87406,no,extended,bachelor,2/3/11,employed,f,57245,suburban,single,124,25.0,15,0.0,2,corporate auto,corporate l3,offer2,call center,681.577742,sports car,small,a,west region
arizona,7255.137772,no,basic,college,2/21/11,employed,f,67352,urban,married,181,7.0,80,1.0,1,personal auto,personal l3,offer3,branch,560.947563,luxury car,small,,central
california,2759.618207,no,basic,college,1/9/11,employed,m,64388,suburban,married,69,,51,,1,personal auto,personal l3,offer1,agent,331.2,two-door car,small,,west region
washington,24084.5352,no,basic,high school or below,2/2/11,employed,m,65196,suburban,married,67,0.0,54,0.0,2,personal auto,personal l2,offer4,branch,396.082036,four-door car,medsize,,east
oregon,8847.444221,no,basic,college,2/11/11,disabled,m,17950,urban,married,118,34.0,24,0.0,4,personal auto,personal l2,offer1,agent,425.489592,suv,medsize,,north west
oregon,16979.79757,yes,basic,bachelor,1/17/11,employed,m,35095,suburban,divorced,73,25.0,56,0.0,2,personal auto,personal l3,offer2,call center,525.6,two-door car,small,,north west
oregon,2530.705137,yes,basic,bachelor,1/21/11,employed,f,89451,rural,single,63,,2,,1,personal auto,personal l2,offer2,web,61.769564,four-door car,medsize,,north west
arizona,2359.423599,yes,basic,bachelor,1/11/11,disabled,f,19864,suburban,divorced,63,22.0,96,0.0,1,personal auto,personal l2,offer1,web,352.394515,four-door car,medsize,a,central
california,8564.768226,yes,basic,high school or below,2/17/11,employed,m,95697,rural,married,107,29.0,29,0.0,9,corporate auto,corporate l3,offer2,agent,178.006524,sports car,medsize,,west region
california,3167.888725,no,extended,bachelor,2/17/11,employed,m,61638,suburban,divorced,82,,55,,1,corporate auto,corporate l3,offer2,web,544.340079,four-door car,medsize,a,west region
california,7986.191274,no,basic,bachelor,1/19/11,employed,m,74217,urban,married,100,35.0,3,0.0,6,personal auto,personal l1,offer2,branch,418.005524,suv,large,,west region
nevada,3554.845264,yes,extended,master,1/10/11,employed,f,58557,rural,married,88,4.0,83,0.0,1,personal auto,personal l2,offer1,branch,55.510526,four-door car,large,,central
california,13840.16012,no,basic,high school or below,2/11/11,medical leave,f,29658,suburban,divorced,119,20.0,66,0.0,2,personal auto,personal l3,offer1,call center,571.2,suv,medsize,,west region
california,2530.705137,yes,basic,bachelor,1/21/11,employed,f,89451,rural,single,63,11.0,2,0.0,1,special auto,special l2,offer2,web,61.769564,four-door car,medsize,a,west region
oregon,13466.92071,yes,basic,high school or below,2/23/11,disabled,f,11432,suburban,married,119,11.0,9,0.0,2,personal auto,personal l2,offer2,agent,571.2,,,,north west
california,9161.655119,no,basic,high school or below,1/15/11,employed,f,91763,urban,married,113,22.0,64,0.0,3,special auto,special l3,offer1,call center,441.992043,suv,small,,west region
oregon,3900.906002,no,extended,bachelor,2/9/11,employed,m,95018,urban,married,97,21.0,81,0.0,1,personal auto,personal l2,offer2,web,315.879728,four-door car,large,,north west
arizona,2399.17815,no,basic,bachelor,1/23/11,disabled,m,20992,suburban,married,64,21.0,73,0.0,1,personal auto,personal l3,offer2,call center,307.2,two-door car,medsize,,central
oregon,5010.37931,no,basic,bachelor,1/19/11,employed,f,64014,urban,single,63,26.0,27,0.0,7,corporate auto,corporate l3,offer1,agent,295.871784,,,a,north west
washington,8112.323843,no,basic,bachelor,2/9/11,employed,m,87403,suburban,divorced,68,1.0,63,0.0,2,personal auto,personal l1,offer1,agent,456.290338,four-door car,medsize,a,east
oregon,3647.24611,no,extended,bachelor,1/10/11,employed,f,20694,suburban,married,94,29.0,89,1.0,1,personal auto,personal l2,offer2,branch,451.2,two-door car,medsize,a,north west
oregon,5384.532684,no,basic,master,2/12/11,employed,f,59364,suburban,married,67,25.0,56,0.0,5,corporate auto,corporate l1,offer4,agent,321.6,four-door car,small,a,north west
washington,2772.502139,no,basic,high school or below,1/15/11,employed,m,68463,suburban,married,70,19.0,67,1.0,1,personal auto,personal l1,offer2,call center,336.0,four-door car,medsize,,east
oregon,2574.020376,yes,basic,master,1/14/11,employed,f,34990,rural,single,65,23.0,73,0.0,1,personal auto,personal l1,offer2,web,42.689135,four-door car,medsize,,north west
oregon,9594.78115,no,extended,college,2/2/11,employed,f,31421,suburban,married,81,5.0,95,0.0,2,personal auto,personal l3,offer3,web,388.8,two-door car,medsize,,north west
oregon,10208.92761,yes,extended,college,2/14/11,employed,f,35482,suburban,married,129,21.0,59,0.0,3,corporate auto,corporate l2,offer1,branch,619.2,suv,medsize,a,north west
oregon,9217.978125,no,basic,bachelor,1/12/11,employed,f,26351,suburban,divorced,119,14.0,87,0.0,7,personal auto,personal l2,offer3,branch,571.2,suv,medsize,a,north west
oregon,10506.93706,no,extended,high school or below,2/25/11,employed,m,61650,rural,single,88,8.0,2,0.0,2,personal auto,personal l3,offer2,web,117.470445,four-door car,medsize,a,north west
california,8991.98452,no,basic,high school or below,1/19/11,medical leave,f,17331,suburban,divorced,117,13.0,39,0.0,6,personal auto,personal l2,offer1,agent,1138.255325,suv,medsize,,west region
nevada,4923.950434,no,basic,bachelor,1/30/11,employed,m,31093,suburban,married,63,3.0,78,0.0,3,personal auto,personal l2,offer2,branch,302.4,four-door car,medsize,a,central
nevada,18745.39592,no,extended,master,2/27/11,medical leave,f,27229,suburban,single,99,20.0,9,0.0,2,personal auto,personal l2,offer3,agent,475.2,four-door car,small,a,central
oregon,4525.276524,no,basic,bachelor,1/29/11,employed,f,32802,suburban,married,114,31.0,8,0.0,1,personal auto,personal l1,offer2,call center,547.2,suv,medsize,,north west
california,10732.50747,no,extended,doctor,2/22/11,employed,m,75728,rural,married,133,24.0,68,0.0,4,corporate auto,corporate l3,offer1,call center,44.159065,suv,medsize,,west region
oregon,11790.49617,yes,basic,college,1/3/11,retired,m,25251,suburban,divorced,66,13.0,43,0.0,2,personal auto,personal l3,offer2,web,316.8,four-door car,medsize,,north west
arizona,5821.684337,no,premium,high school or below,2/15/11,employed,m,77563,urban,married,143,35.0,58,0.0,1,personal auto,personal l1,offer4,call center,545.999699,,,,central
oregon,2541.627614,no,basic,master,1/19/11,employed,f,23692,suburban,married,65,26.0,27,2.0,1,personal auto,personal l3,offer3,agent,312.0,two-door car,medsize,,north west
oregon,5471.83429,no,basic,college,2/6/11,employed,f,53526,urban,married,68,27.0,69,0.0,4,personal auto,personal l3,offer1,agent,278.902846,four-door car,medsize,a,north west
washington,4879.384813,no,basic,master,1/14/11,employed,f,67163,rural,married,61,17.0,41,2.0,5,personal auto,personal l1,offer1,call center,33.192803,two-door car,small,a,east
washington,2691.568951,no,basic,college,1/24/11,employed,f,77411,urban,married,67,,63,,1,personal auto,personal l2,offer2,agent,257.900458,four-door car,medsize,,east
arizona,3440.361969,no,extended,bachelor,2/5/11,medical leave,f,23870,suburban,married,91,4.0,92,0.0,1,personal auto,personal l3,offer2,web,500.577875,two-door car,medsize,a,central
oregon,4782.349875,no,basic,high school or below,2/28/11,employed,m,81687,suburban,single,61,7.0,77,0.0,6,personal auto,personal l2,offer2,call center,292.8,four-door car,medsize,,north west
arizona,5484.588155,no,basic,high school or below,2/21/11,employed,m,47611,suburban,married,69,17.0,65,0.0,4,corporate auto,corporate l3,offer2,call center,593.654484,,,,central
california,22721.47396,no,basic,master,1/11/11,disabled,m,21724,suburban,married,198,4.0,51,0.0,2,corporate auto,corporate l1,offer1,agent,1505.230405,luxury suv,large,a,west region
california,17019.0061,no,basic,bachelor,2/1/11,employed,f,89601,rural,married,70,,8,,2,personal auto,personal l3,offer2,branch,117.015463,two-door car,medsize,a,west region
arizona,2666.05454,no,basic,high school or below,1/21/11,employed,f,86321,suburban,married,66,7.0,25,0.0,1,personal auto,personal l1,offer3,call center,316.8,four-door car,medsize,,central
arizona,5704.977144,no,basic,doctor,1/21/11,employed,m,50695,rural,married,71,31.0,30,0.0,5,personal auto,personal l3,offer1,call center,110.567069,two-door car,large,a,central
oregon,10914.20446,no,extended,college,1/2/11,employed,m,71656,rural,married,137,3.0,88,0.0,8,special auto,special l3,offer3,branch,61.915326,suv,medsize,,north west
california,3571.34607,no,extended,doctor,2/13/11,employed,f,73853,suburban,single,89,7.0,35,0.0,1,personal auto,personal l3,offer2,agent,427.2,four-door car,small,a,west region
arizona,7138.167712,no,extended,high school or below,2/10/11,disabled,f,19794,suburban,married,93,24.0,80,0.0,8,corporate auto,corporate l3,offer2,agent,603.077136,two-door car,large,,central
,5138.244998,,basic,bachelor,1/8/11,employed,f,72264,urban,married,64,2.0,66,0.0,9,corporate auto,corporate l3,offer3,web,272.649844,four-door car,medsize,,
washington,2476.480866,no,basic,college,2/14/11,employed,f,47918,urban,married,62,,51,,1,corporate auto,corporate l3,offer2,call center,246.256648,two-door car,medsize,a,east
washington,5375.842787,no,basic,college,1/12/11,employed,f,69050,suburban,married,67,17.0,38,0.0,3,personal auto,personal l2,offer3,web,334.892437,four-door car,large,,east
nevada,8268.272933,no,basic,college,2/2/11,employed,m,95419,suburban,married,70,6.0,61,3.0,2,personal auto,personal l3,offer3,web,336.0,four-door car,medsize,a,central
california,5055.902381,no,basic,bachelor,1/10/11,employed,f,88989,urban,married,63,19.0,28,1.0,3,personal auto,personal l3,offer3,call center,232.745161,,,a,west region
arizona,4795.387295,no,basic,bachelor,2/5/11,employed,f,33068,urban,married,61,6.0,77,1.0,6,personal auto,personal l1,offer1,branch,213.038013,four-door car,medsize,,central
oregon,9743.350113,no,extended,bachelor,1/21/11,employed,f,24028,suburban,married,82,14.0,27,0.0,2,personal auto,personal l2,offer2,agent,393.6,four-door car,small,,north west
,6631.665538,,extended,college,1/18/11,employed,m,32918,suburban,married,84,33.0,69,0.0,3,personal auto,personal l2,offer3,agent,403.2,four-door car,medsize,a,
washington,31162.6933,no,extended,high school or below,1/15/11,employed,m,83170,urban,married,97,0.0,53,0.0,2,personal auto,personal l2,offer2,agent,344.118069,four-door car,medsize,,east
arizona,4883.805481,no,basic,bachelor,2/17/11,employed,f,58682,urban,married,61,24.0,34,0.0,4,corporate auto,corporate l3,offer1,branch,206.810286,four-door car,medsize,,central
arizona,3548.148767,no,extended,doctor,2/28/11,employed,f,76114,suburban,married,88,6.0,97,0.0,1,personal auto,personal l3,offer2,agent,422.4,four-door car,medsize,,central
oregon,10541.10977,no,extended,doctor,2/11/11,employed,f,59965,suburban,married,131,7.0,54,0.0,7,personal auto,personal l2,offer1,branch,905.030448,suv,medsize,a,north west
oregon,7606.70898,no,extended,bachelor,2/25/11,employed,f,47778,rural,married,96,2.0,81,0.0,7,personal auto,personal l3,offer2,call center,173.80879,four-door car,medsize,a,north west
california,30763.25637,no,basic,bachelor,1/6/11,employed,m,41279,rural,single,115,1.0,30,0.0,2,personal auto,personal l3,offer3,agent,251.429988,sports car,medsize,a,west region
california,4751.280948,no,basic,master,2/12/11,employed,m,30887,urban,married,119,15.0,18,0.0,1,personal auto,personal l3,offer3,agent,444.167713,suv,large,a,west region
california,38545.70689,no,basic,college,1/14/11,employed,m,41104,urban,married,109,4.0,10,0.0,2,corporate auto,corporate l2,offer4,call center,440.030847,suv,large,,west region
oregon,4988.579794,no,basic,bachelor,2/11/11,employed,m,38928,suburban,married,64,14.0,18,0.0,8,personal auto,personal l2,offer2,agent,326.660051,four-door car,large,a,north west
california,2609.533154,no,basic,bachelor,2/20/11,employed,m,60798,suburban,married,66,21.0,57,0.0,1,personal auto,personal l3,offer2,call center,316.8,four-door car,medsize,,west region
arizona,15470.59658,no,premium,bachelor,2/8/11,employed,f,68086,rural,married,194,34.0,6,0.0,3,corporate auto,corporate l2,offer2,web,218.342169,suv,large,a,central
arizona,5324.38786,no,basic,bachelor,1/18/11,employed,f,31561,suburban,divorced,68,8.0,62,0.0,7,personal auto,personal l3,offer3,web,326.4,four-door car,medsize,a,central
washington,3763.637743,no,extended,high school or below,2/21/11,employed,m,93595,rural,married,97,15.0,30,4.0,1,special auto,special l2,offer4,agent,49.797016,four-door car,medsize,a,east
oregon,9057.935331,no,basic,college,1/2/11,employed,f,91025,urban,married,112,,37,,9,personal auto,personal l3,offer1,agent,327.682669,suv,medsize,a,north west
arizona,4458.113369,yes,basic,bachelor,1/2/11,retired,m,17622,suburban,divorced,65,1.0,36,1.0,3,personal auto,personal l3,offer1,agent,312.0,four-door car,medsize,a,central
oregon,2660.931663,no,basic,high school or below,1/25/11,employed,f,53333,rural,married,66,4.0,34,0.0,1,personal auto,personal l1,offer2,branch,22.945038,two-door car,medsize,a,north west
oregon,2616.613903,yes,basic,college,2/25/11,employed,m,72302,suburban,divorced,66,6.0,27,0.0,1,personal auto,personal l3,offer1,agent,316.8,two-door car,medsize,,north west
oregon,8110.305608,no,premium,college,1/22/11,employed,m,52548,suburban,married,101,10.0,1,0.0,5,personal auto,personal l3,offer2,call center,587.504777,four-door car,medsize,a,north west
arizona,2448.811216,no,basic,bachelor,1/21/11,employed,f,87802,urban,married,63,2.0,43,5.0,1,personal auto,personal l2,offer2,agent,173.899238,four-door car,small,,central
oregon,2472.469209,yes,basic,college,1/20/11,employed,f,63860,urban,married,62,26.0,81,0.0,1,personal auto,personal l1,offer2,agent,208.598246,four-door car,medsize,,north west
oregon,16301.9676,yes,extended,master,2/17/11,retired,f,19614,suburban,married,85,21.0,32,0.0,2,special auto,special l3,offer2,agent,574.024018,two-door car,medsize,,north west
arizona,6047.02516,yes,extended,college,2/19/11,employed,m,20396,suburban,married,76,15.0,60,1.0,4,corporate auto,corporate l2,offer1,branch,364.8,,,a,central
oregon,20635.0846,no,basic,high school or below,2/17/11,employed,f,84106,suburban,single,64,0.0,86,0.0,2,personal auto,personal l3,offer1,branch,334.408717,two-door car,medsize,,north west
california,4655.605831,no,basic,high school or below,2/10/11,employed,m,88240,suburban,divorced,117,3.0,94,0.0,1,personal auto,personal l1,offer1,branch,561.6,suv,small,,west region
california,4686.469674,yes,basic,college,2/12/11,employed,m,58089,suburban,married,118,31.0,83,0.0,1,corporate auto,corporate l3,offer1,agent,566.4,suv,medsize,a,west region
california,5251.983996,no,basic,college,2/22/11,employed,m,59537,suburban,married,66,23.0,5,0.0,7,personal auto,personal l1,offer1,branch,316.8,two-door car,medsize,,west region
arizona,3199.824902,no,extended,college,1/25/11,employed,m,78784,urban,married,80,33.0,72,0.0,1,personal auto,personal l3,offer2,agent,239.964694,four-door car,medsize,a,central
oregon,7284.262288,no,basic,college,2/23/11,medical leave,m,10334,urban,married,64,5.0,80,0.0,2,personal auto,personal l1,offer3,agent,296.962938,four-door car,medsize,a,north west
arizona,4885.162511,no,extended,high school or below,2/12/11,disabled,m,26372,suburban,married,126,11.0,7,0.0,1,personal auto,personal l3,offer4,agent,604.8,suv,medsize,,central
nevada,3141.333694,no,extended,college,1/18/11,employed,f,24019,rural,married,79,14.0,27,0.0,1,personal auto,personal l3,offer3,branch,47.22861,four-door car,medsize,a,central
arizona,2582.408525,yes,basic,bachelor,2/14/11,employed,f,76731,urban,married,64,2.0,68,0.0,1,special auto,special l3,offer2,agent,201.455005,four-door car,medsize,a,central
california,25807.063,yes,extended,college,2/13/11,employed,f,71210,suburban,married,214,8.0,89,1.0,2,personal auto,personal l3,offer1,branch,1027.2,luxury car,small,,west region
oregon,14083.97061,no,basic,college,1/16/11,employed,f,74916,rural,single,62,8.0,34,4.0,2,personal auto,personal l1,offer1,branch,123.490337,two-door car,medsize,,north west
arizona,6457.560953,no,extended,bachelor,1/5/11,employed,m,37548,rural,married,81,12.0,9,0.0,3,special auto,special l2,offer2,web,160.598662,four-door car,medsize,,central
arizona,5607.253592,no,basic,college,2/25/11,employed,f,39507,urban,married,70,32.0,17,0.0,5,corporate auto,corporate l1,offer1,web,283.743206,two-door car,medsize,a,central
oregon,6459.640843,no,extended,high school or below,1/27/11,employed,m,23235,suburban,married,82,32.0,46,0.0,3,personal auto,personal l3,offer2,call center,483.482031,four-door car,large,,north west
,5645.396665,,basic,high school or below,2/27/11,employed,m,50366,suburban,divorced,72,9.0,5,0.0,9,personal auto,personal l1,offer1,call center,428.734656,four-door car,small,a,
oregon,4995.211519,no,basic,bachelor,2/8/11,employed,f,82413,suburban,divorced,62,12.0,79,0.0,3,personal auto,personal l3,offer1,agent,297.6,four-door car,medsize,,north west
arizona,5791.610721,no,basic,college,2/5/11,employed,f,80480,urban,married,72,6.0,55,0.0,7,personal auto,personal l3,offer3,agent,242.842607,four-door car,medsize,a,central
oregon,7484.383041,no,basic,high school or below,1/15/11,employed,f,51692,suburban,married,186,12.0,28,0.0,1,special auto,special l3,offer1,agent,892.8,luxury car,medsize,,north west
california,2551.226692,yes,basic,master,1/19/11,employed,m,79751,suburban,married,63,15.0,67,0.0,1,personal auto,personal l3,offer3,web,392.235698,,,,west region
nevada,9233.19066,no,basic,high school or below,2/3/11,employed,f,42600,suburban,married,115,10.0,78,0.0,3,personal auto,personal l2,offer2,branch,660.136987,sports car,medsize,,central
california,8622.835375,yes,basic,bachelor,2/18/11,employed,m,97361,suburban,single,73,6.0,85,0.0,2,corporate auto,corporate l3,offer1,agent,350.4,four-door car,medsize,a,west region
oregon,5568.889245,no,basic,college,1/16/11,employed,f,53295,urban,married,70,12.0,97,0.0,8,personal auto,personal l3,offer3,branch,250.423844,four-door car,small,a,north west
arizona,4995.1712,no,basic,college,1/11/11,retired,f,10787,suburban,divorced,71,33.0,25,0.0,8,personal auto,personal l2,offer1,agent,697.798804,two-door car,small,,central
oregon,3954.538361,no,basic,doctor,2/27/11,employed,m,40175,rural,divorced,102,34.0,78,1.0,1,personal auto,personal l1,offer3,branch,154.721555,suv,medsize,,north west
arizona,2685.425957,no,basic,high school or below,1/8/11,employed,m,75329,rural,married,67,15.0,17,0.0,1,corporate auto,corporate l2,offer3,branch,45.905292,four-door car,large,a,central
california,2498.963061,no,basic,bachelor,2/26/11,employed,m,76792,suburban,married,62,12.0,27,0.0,1,personal auto,personal l2,offer3,agent,297.6,,,,west region
washington,25807.063,yes,extended,college,2/13/11,employed,f,71210,suburban,married,214,8.0,89,1.0,2,personal auto,personal l1,offer1,branch,1027.2,luxury car,small,,east
oregon,9192.592887,no,basic,high school or below,2/8/11,employed,m,37388,suburban,married,117,30.0,21,0.0,5,corporate auto,corporate l1,offer4,branch,561.6,suv,medsize,a,north west
oregon,13334.26763,no,premium,bachelor,1/20/11,employed,m,47950,urban,married,170,23.0,86,1.0,8,personal auto,personal l3,offer1,branch,780.990942,,,,north west
california,4914.731004,no,basic,bachelor,2/24/11,disabled,f,14232,suburban,married,64,13.0,1,0.0,5,personal auto,personal l3,offer4,agent,307.2,four-door car,small,a,west region
california,4428.031583,yes,basic,high school or below,1/29/11,employed,f,58577,urban,married,110,6.0,62,0.0,1,personal auto,personal l3,offer1,agent,303.872752,suv,medsize,,west region
,5107.071054,,basic,bachelor,2/2/11,employed,m,70174,rural,married,64,18.0,80,0.0,7,personal auto,personal l2,offer1,agent,128.90032,four-door car,medsize,,
california,2949.282616,no,basic,high school or below,1/8/11,employed,f,78596,rural,divorced,73,11.0,0,0.0,1,personal auto,personal l3,offer3,call center,106.267659,four-door car,medsize,a,west region
california,4312.869599,no,basic,bachelor,1/15/11,retired,m,21004,suburban,single,62,27.0,20,0.0,3,personal auto,personal l3,offer2,call center,297.6,two-door car,medsize,,west region
california,4553.809528,no,basic,college,2/13/11,employed,m,61064,urban,married,113,32.0,77,0.0,1,personal auto,personal l3,offer3,branch,539.774172,suv,medsize,a,west region
,4583.748377,,basic,master,1/19/11,employed,m,94804,suburban,married,115,13.0,79,4.0,1,personal auto,personal l2,offer1,branch,764.592151,suv,medsize,,
oregon,7255.577594,no,extended,doctor,1/9/11,employed,f,39786,urban,married,91,,91,,9,personal auto,personal l2,offer1,web,365.835977,,,,north west
oregon,2527.653796,no,basic,bachelor,1/17/11,employed,f,80744,rural,married,63,24.0,84,0.0,1,corporate auto,corporate l3,offer1,agent,11.879037,four-door car,medsize,,north west
california,7455.361568,no,extended,high school or below,1/16/11,employed,f,74089,suburban,married,94,13.0,89,2.0,7,personal auto,personal l2,offer3,agent,648.690215,four-door car,small,,west region
arizona,6895.309989,no,basic,bachelor,1/24/11,retired,m,28992,suburban,divorced,74,3.0,90,4.0,2,personal auto,personal l3,offer2,branch,355.2,four-door car,medsize,,central
oregon,5500.576161,no,basic,bachelor,2/19/11,employed,m,35396,suburban,divorced,70,32.0,12,0.0,3,personal auto,personal l3,offer4,call center,336.0,two-door car,medsize,,north west
arizona,10110.96161,no,extended,college,1/8/11,employed,f,96506,urban,married,124,,22,,3,corporate auto,corporate l3,offer3,agent,504.513989,suv,medsize,,central
arizona,8457.461231,no,basic,college,1/8/11,employed,f,26023,rural,married,72,26.0,33,1.0,2,personal auto,personal l3,offer1,branch,79.463916,four-door car,medsize,a,central
oregon,2827.328603,no,basic,college,1/21/11,employed,f,20368,suburban,single,72,30.0,36,0.0,1,corporate auto,corporate l3,offer4,branch,345.6,four-door car,small,a,north west
california,9150.137599,no,basic,master,2/19/11,employed,f,32370,suburban,married,115,2.0,77,0.0,4,corporate auto,corporate l3,offer1,branch,552.0,suv,medsize,a,west region
arizona,3038.114641,no,extended,bachelor,1/20/11,employed,f,31532,urban,single,79,1.0,26,0.0,1,personal auto,personal l3,offer1,branch,241.077843,four-door car,medsize,a,central
california,3681.978995,no,extended,master,1/31/11,employed,f,77951,rural,married,93,28.0,46,3.0,1,corporate auto,corporate l2,offer4,branch,19.668633,two-door car,medsize,,west region
oregon,11533.47722,no,extended,bachelor,2/14/11,employed,f,41098,urban,married,96,3.0,15,0.0,2,personal auto,personal l1,offer1,branch,250.058657,two-door car,medsize,a,north west
nevada,2706.606128,no,basic,college,1/5/11,medical leave,f,22664,suburban,divorced,73,0.0,8,0.0,1,personal auto,personal l2,offer4,agent,350.4,two-door car,small,a,central
california,5519.513075,no,basic,doctor,1/4/11,employed,f,70914,rural,married,68,15.0,82,0.0,3,personal auto,personal l3,offer1,agent,77.695518,four-door car,medsize,,west region
arizona,4447.423455,no,premium,bachelor,2/14/11,disabled,f,13128,suburban,married,118,11.0,21,0.0,1,personal auto,personal l1,offer4,call center,771.878514,four-door car,medsize,,central
oregon,2551.226692,yes,basic,master,1/19/11,employed,m,79751,suburban,married,63,15.0,67,0.0,1,special auto,special l2,offer3,web,392.235698,two-door car,small,,north west
oregon,5169.558551,no,basic,bachelor,1/4/11,employed,f,56334,suburban,married,65,35.0,72,0.0,3,corporate auto,corporate l2,offer4,call center,421.563772,two-door car,small,,north west
arizona,2791.880258,no,basic,college,1/27/11,employed,m,72389,urban,married,70,3.0,76,0.0,1,personal auto,personal l1,offer2,branch,206.158416,four-door car,medsize,a,central
california,8609.158215,yes,basic,bachelor,1/14/11,employed,f,79090,urban,married,107,2.0,74,0.0,3,personal auto,personal l2,offer2,branch,289.040734,suv,medsize,a,west region
california,8132.702789,no,basic,bachelor,1/9/11,employed,f,36737,suburban,married,102,,20,,8,corporate auto,corporate l3,offer1,agent,512.861063,sports car,large,a,west region
oregon,2592.437797,yes,basic,high school or below,1/2/11,employed,m,72421,suburban,married,65,8.0,23,0.0,1,personal auto,personal l3,offer2,call center,312.0,,,a,north west
oregon,5229.68034,no,basic,high school or below,2/23/11,medical leave,f,26540,suburban,divorced,69,13.0,65,1.0,5,personal auto,personal l1,offer2,call center,331.2,four-door car,medsize,a,north west
oregon,2635.148447,no,basic,high school or below,1/28/11,employed,f,93884,suburban,married,65,7.0,10,0.0,1,personal auto,personal l3,offer4,branch,312.0,,,,north west
,14651.6153,,extended,bachelor,1/6/11,employed,m,74915,urban,married,122,13.0,17,0.0,2,personal auto,personal l2,offer3,branch,393.151377,suv,medsize,,
california,2837.163399,no,basic,college,2/14/11,employed,m,29242,suburban,married,73,,23,,1,personal auto,personal l1,offer3,branch,350.4,two-door car,large,,west region
oregon,4363.124641,no,basic,master,1/10/11,employed,f,54514,urban,divorced,109,5.0,36,3.0,1,personal auto,personal l2,offer2,branch,286.234931,suv,medsize,a,north west
california,4563.859434,no,basic,doctor,1/13/11,employed,f,62010,suburban,married,112,2.0,51,0.0,1,personal auto,personal l3,offer2,agent,537.6,suv,medsize,,west region
,6277.844624,,extended,college,1/21/11,employed,f,21024,suburban,single,82,32.0,8,1.0,9,personal auto,personal l3,offer2,agent,450.129276,two-door car,large,,
nevada,16224.54182,no,extended,high school or below,2/13/11,employed,f,32184,rural,married,136,,91,,2,personal auto,personal l2,offer1,branch,266.146673,suv,medsize,a,central
california,4984.618655,yes,basic,bachelor,1/11/11,employed,m,86305,rural,married,62,1.0,99,0.0,5,personal auto,personal l1,offer2,call center,80.73124,four-door car,medsize,a,west region
,21034.01815,,basic,high school or below,2/23/11,employed,f,26876,urban,married,66,12.0,53,0.0,2,personal auto,personal l2,offer4,call center,219.209762,four-door car,medsize,a,
california,2691.380574,no,basic,bachelor,1/31/11,retired,f,21959,suburban,married,71,0.0,69,0.0,1,corporate auto,corporate l3,offer4,web,340.8,four-door car,small,,west region
california,14057.42125,no,basic,bachelor,1/10/11,employed,m,36261,suburban,divorced,118,14.0,78,0.0,2,corporate auto,corporate l3,offer3,web,1197.713861,suv,medsize,a,west region
oregon,5849.486464,no,basic,bachelor,2/27/11,employed,f,67511,suburban,married,73,3.0,5,0.0,8,personal auto,personal l3,offer3,call center,350.4,four-door car,small,,north west
california,2430.870824,no,basic,high school or below,2/17/11,employed,f,28476,suburban,divorced,62,3.0,76,0.0,1,personal auto,personal l3,offer2,agent,297.6,four-door car,medsize,a,west region
oregon,10721.61076,no,extended,bachelor,2/10/11,employed,f,25983,suburban,married,90,32.0,43,0.0,2,corporate auto,corporate l2,offer2,web,432.0,four-door car,small,,north west
washington,4779.893422,no,basic,high school or below,2/7/11,employed,m,54194,rural,married,119,9.0,90,1.0,1,personal auto,personal l3,offer1,agent,112.268583,suv,medsize,,east
nevada,32450.39142,no,basic,college,2/10/11,employed,f,60455,suburban,single,104,20.0,25,0.0,2,personal auto,personal l1,offer4,agent,499.2,suv,medsize,a,central
california,5824.767025,no,basic,bachelor,2/20/11,employed,f,38492,urban,married,72,27.0,34,0.0,3,personal auto,personal l3,offer2,branch,207.901654,four-door car,medsize,a,west region
oregon,5220.685297,no,extended,master,1/6/11,employed,f,68867,suburban,married,129,19.0,91,0.0,1,personal auto,personal l3,offer1,call center,619.2,suv,medsize,a,north west
california,4341.363555,no,basic,bachelor,1/10/11,employed,m,23352,suburban,married,112,0.0,86,0.0,1,personal auto,personal l3,offer2,branch,537.6,suv,medsize,a,west region
,17857.97233,,basic,college,2/13/11,employed,m,55437,suburban,married,64,5.0,78,1.0,2,personal auto,personal l3,offer3,agent,445.287788,,,,
,5129.608404,,extended,master,2/23/11,employed,m,72433,urban,married,126,34.0,48,0.0,1,personal auto,personal l3,offer2,agent,343.139611,suv,large,,
oregon,4711.080198,no,basic,bachelor,1/5/11,disabled,f,13933,rural,married,62,25.0,32,0.0,6,corporate auto,corporate l3,offer1,call center,49.364254,two-door car,medsize,a,north west
nevada,18380.39026,no,extended,high school or below,2/8/11,employed,m,50407,urban,married,92,30.0,67,0.0,2,personal auto,personal l3,offer1,agent,352.060768,four-door car,medsize,,central
california,17041.4383,no,basic,high school or below,2/1/11,disabled,f,22249,suburban,married,64,4.0,88,0.0,2,personal auto,personal l3,offer4,call center,455.191595,four-door car,medsize,,west region
washington,3576.705025,no,extended,high school or below,1/19/11,employed,f,24959,suburban,married,89,19.0,13,0.0,1,corporate auto,corporate l3,offer2,call center,640.8,four-door car,large,a,east
